"1.1.1 Mission, Vision, Values",Organizational Design,"Mission, Vision, Values","Mission, Vision, Values","Strong - Well known by all, easily accessible. Incorporated in communications throughout company on a regular basis. Drive daily work and performance 

Adequate - Mission, vision, values have been identified, but are referenced infrequently. Not well-known by all employees and difficult to find. 

Weakness - Company has not fully identified mission, vision, values",2 Weakness,"While the promise statement is communicated via several channels, including the district website and in key staff meetings at several points during the year, it is not ""lived"" by the staff.  One possible reason is staff turnover - makes it difficult to have continuity,  Also, vision and values have not been articulated at all.","Identity a mission (or ""promise"") that resonates; be purposeful about including it in various communications with various audiences.

Also, identify 3-4 ""values"" that the staff should live by and helps guide behaviors and performance expectations at all levels and all roles.",1,Item,sites/Lists/Lists/JWP  HR Assessment,
1.1.2 Culture/Values strategy & plans,Organizational Design,"Mission, Vision, Values",Culture/Values strategy & plans,"Strong - Mission, vision, values have been identified for the organization and widely communicated to employees and external stakeholders. Values are incorporated into performance evaluations and used throughout the organization to recognize employee success. 

Adequate - Some work has been done to identify the mission and vision. Values are not fully identified. Low level of communication to employees around these pieces. 

Weakness - No work has been done to identify mission, vision, values.",0 Out of Scope,See comments in 1.1.1 - need to be more purposeful,,,Item,sites/Lists/Lists/JWP  HR Assessment,
1.2.1 Business Goals,Organizational Design,Business Goals and Org Alignment,Business Goals,"Strong - Key business goals identified and communicated consistently to employees. Company is tightly aligned around what is most important right now. All employees are clear on chain of command and know where to look for additional guidance. 

Adequate - Company aware of what is most important right now, but plans for how to attain need additional definition. Chain of command is clear, documented and easy to reference, but needs to be more widely communicated across the organization. 

Weakness - Company has not clearly defined the one thing that is most important right now. Chain of command is unclear and not documented clearly.",2 Weakness,"The JWP Strategic plan is well documented and the process to build-out the plan is comprehensive in terms of gaining input and buy in from many stakeholders.  However, accountability for executing the strategic plan is very lacking and the JWP leadership is nervous to hold people accountable due to potential turnover.

The plan is not part of anyone's job duties and it is unclear if/where it fits into the annual performance review process or goal-setting with staff members.",Simplify the strategic plan and assign clear accountability to people at the outset of the new plan.  Align on how/where these expectations fit into the performance management efforts for responsible staff members.  Set clear expectations as to what staff will be coached on and held accountable to.  Create quarterly/monthly milestones to check-in on progress toward the intended outcomes.  Follow best practices in project management.,2,Item,sites/Lists/Lists/JWP  HR Assessment,
1.2.2 Organization Chart and Structure Design,Organizational Design,Business Goals and Org Alignment,Organization Chart and Structure Design,"Strong - Organization chart exists, is current, and has been approved by the leadership team. The chart is easily accessed by all employees. 

Adequate - A high level chart exists but it is only for executive eyes. It does not include all positions in the organization and is not available to employees. 

Weakness - No org chart exists.",3 Adequate,"Org chart exists and is accurate - however it is not shared with staff.  This is not a purposeful decision, but rather more of an oversight.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
1.3.1 Team Structure,Organizational Design,"Workflow, Procedures, Structures & Systems",Team Structure,"Strong - Company has clearly defined method that is widely communicated. Resources are easily accessible and readily documented 

Adequate - Company has identified method (formal or informal), but has not articulated to all staff. Few workflows, procedures, etc. are documented and accessible. 

Weakness - Company does not use a consistent method (formal or informal) for workflow, procedures, structures & systems. Staff is confused; expectations unclear.",0 Out of Scope,TBD,,,Item,sites/Lists/Lists/JWP  HR Assessment,
1.3.2 Cross-function/work process design,Organizational Design,"Workflow, Procedures, Structures & Systems",Cross-function/work process design,"Strong - Consistent format and methodology for documenting work processes across the organization. All departments have fully documented processes, they have been cross-referenced with other departments, verified, and shared in an easy to access location for quick reference. 

Adequate - Some processes in the organization have been documented and are stored in a shared location for easy access. 

Weakness - No company processes have been documented.",1 Weakness,"Very few processes have been documented and those that have are not generally stored in a common accessible location.  This is leading to significant anxiety on the part of leadership, in the event that someone should leave, all knowledge leaves ""with them"".","Near term: Require current process owners to identify all processes they own and then create documentation to support the process.  Hold recorded calls where the staff member must ""walk through"" the process step-by-step, explaining any key details and sharing screens if applicable.  Store the recording in a common location that can then be shared as-needed.

Long-term: Include documentation requirements in job descriptions and in annual performance reviews and/or regular check-in conversations.",1,Item,sites/Lists/Lists/JWP  HR Assessment,
1.3.3 Role Definition & Role Clarity,Organizational Design,"Workflow, Procedures, Structures & Systems",Role Definition & Role Clarity,"Strong - Job descriptions have been bumped up against the org chart and documented workflow processes to ensure roles do not overlap unnecessarily. Clear delineations have been made through the job description of where one role ends and another begins. Employees know where they can find clarifying documents if needed. 

Adequate - Some job descriptions have been examined to ensure alignment with the org chart and documented workflow process, but not all. Communication to employees regarding delineation of duties is available or has been distributed, but some employees remain unclear. 

Weakness - Job descriptions have not been checked against the org chart or workflow processes. Employee express concern and confusion around role clarity and definition.",3 Adequate,"Job descriptions are quite detailed and generally match the org chart.  There doesn't typically exist much overlap between roles/job duties, although some staff do ""wear multiple hats"".   As no workflow processes are documented, the role definition is primarily based on the specific responsibilities of each role ""in a silo"".",Ensure team members are clear on their key responsibilities and are held accountable to those responsibilities.,4,Item,sites/Lists/Lists/JWP  HR Assessment,
"1.3.4 Systems to support workflow, procedures and structure",Organizational Design,"Workflow, Procedures, Structures & Systems","Systems to support workflow, procedures and structure","Strong - A centralized platform (ex: intranet, HRIS) exists where workflows and procedures are documented, with a clearly organized and searchable structure. 
Adequate - Workflows and procedures are documented but not kept in a readily accessible location for employees to reference. 

Weakness - Workflows and procedures are not documented.",3 Adequate,"See 1.3.2.  Most processes are manual and use ""ad hoc"" tools as budget allows.  There is an ATS for the purpose of posting jobs and accepting applications.  Current tools are adequate for the needs of JWP.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
1.4.1 Succession Planning,Organizational Design,Succession Planning,Succession Planning,"Strong - Company has multi-layer succession plan that is revisited annually and all senior leaders are aware. 

Adequate - Company has succession plan, but it has not been revisited regularly and only goes one layer deep in the organization. 

Weakness - Company does not have succession plan.",1 Weakness,No Succession plan exists for any leadership roles.,Adopt a basic annual calibration process to identify possible successors to key roles.  Communicate with those people to understand their career aspirations and express support of their continued path at JWP.  Ensure JWP is supportive of their development.,3,Item,sites/Lists/Lists/JWP  HR Assessment,
2.5.1 Visible resource for employees and managers,Employee Engagement,Employee Communication,Visible resource for employees and managers,"Strong - Company has identified a clear structure for communications. Employees know what to expect, when, where, and from whom. 

Adequate - Company communicates often through various avenues. Employees are not sure where it will come from or when. Communications are informal, no structure in place. 

Weakness - Company does not have clear communication structure in place. Company does not communicate with employees regularly. Employees are unsure when they will receive information or how it will be given to them.",4 Adequate,"Communications with staff are routine and planned on regular cadences and with various audiences.  Weekly emailed newsletters, weekly ""learning pod"" meetings and monthly all-staff updates are some of the communications opportunities.",Continue with planned communications.  Incorporate a recognition item into each communication.  Re-evaluate the content/agenda to ensure they are a productive use of time for all participants.,3,Item,sites/Lists/Lists/JWP  HR Assessment,
